"iccs","geo","values"
"Intentional homicide","Moravskoslezský kraj",4
"Assault","Moravskoslezský kraj",637
"Robbery","Moravskoslezský kraj",203
"Burglary","Moravskoslezský kraj",3686
"Burglary of private residential premises","Moravskoslezský kraj",511
"Theft","Moravskoslezský kraj",3497
"Theft of a motorized land vehicle","Moravskoslezský kraj",226
