"iccs","geo","values"
"Intentional homicide","Kraj Vysočina",3
"Assault","Kraj Vysočina",226
"Robbery","Kraj Vysočina",27
"Burglary","Kraj Vysočina",508
"Burglary of private residential premises","Kraj Vysočina",146
"Theft","Kraj Vysočina",499
"Theft of a motorized land vehicle","Kraj Vysočina",51
