"iccs","geo","values"
"Intentional homicide","Karlovarský kraj",3
"Assault","Karlovarský kraj",130
"Robbery","Karlovarský kraj",41
"Burglary","Karlovarský kraj",599
"Burglary of private residential premises","Karlovarský kraj",149
"Theft","Karlovarský kraj",633
"Theft of a motorized land vehicle","Karlovarský kraj",54
