"iccs","geo","values"
"Intentional homicide","Jihomoravský kraj",6
"Assault","Jihomoravský kraj",509
"Robbery","Jihomoravský kraj",174
"Burglary","Jihomoravský kraj",3296
"Burglary of private residential premises","Jihomoravský kraj",462
"Theft","Jihomoravský kraj",2623
"Theft of a motorized land vehicle","Jihomoravský kraj",234
