"iccs","geo","values"
"Intentional homicide","Jihočeský kraj",7
"Assault","Jihočeský kraj",269
"Robbery","Jihočeský kraj",43
"Burglary","Jihočeský kraj",931
"Burglary of private residential premises","Jihočeský kraj",206
"Theft","Jihočeský kraj",1044
"Theft of a motorized land vehicle","Jihočeský kraj",118
