"iccs","geo","values"
"Intentional homicide","Královéhradecký kraj",1
"Assault","Královéhradecký kraj",162
"Robbery","Královéhradecký kraj",38
"Burglary","Královéhradecký kraj",612
"Burglary of private residential premises","Královéhradecký kraj",112
"Theft","Královéhradecký kraj",677
"Theft of a motorized land vehicle","Královéhradecký kraj",90
