"iccs","geo","values"
"Intentional homicide","Liberecký kraj",3
"Assault","Liberecký kraj",192
"Robbery","Liberecký kraj",70
"Burglary","Liberecký kraj",938
"Burglary of private residential premises","Liberecký kraj",216
"Theft","Liberecký kraj",929
"Theft of a motorized land vehicle","Liberecký kraj",118
