"iccs","geo","values"
"Intentional homicide","Olomoucký kraj",2
"Assault","Olomoucký kraj",314
"Robbery","Olomoucký kraj",51
"Burglary","Olomoucký kraj",893
"Burglary of private residential premises","Olomoucký kraj",182
"Theft","Olomoucký kraj",1188
"Theft of a motorized land vehicle","Olomoucký kraj",86
