"iccs","geo","values"
"Intentional homicide","Plzeňský kraj",2
"Assault","Plzeňský kraj",204
"Robbery","Plzeňský kraj",66
"Burglary","Plzeňský kraj",1775
"Burglary of private residential premises","Plzeňský kraj",359
"Theft","Plzeňský kraj",1302
"Theft of a motorized land vehicle","Plzeňský kraj",141
