"iccs","geo","values"
"Intentional homicide","Hlavní město Praha",7
"Assault","Hlavní město Praha",530
"Robbery","Hlavní město Praha",190
"Burglary","Hlavní město Praha",9937
"Burglary of private residential premises","Hlavní město Praha",1105
"Theft","Hlavní město Praha",7861
"Theft of a motorized land vehicle","Hlavní město Praha",411
