"iccs","geo","values"
"Intentional homicide","Ústecký kraj",5
"Assault","Ústecký kraj",359
"Robbery","Ústecký kraj",159
"Burglary","Ústecký kraj",2533
"Burglary of private residential premises","Ústecký kraj",435
"Theft","Ústecký kraj",2386
"Theft of a motorized land vehicle","Ústecký kraj",222
