"iccs","geo","values"
"Intentional homicide","Středočeský kraj",1
"Assault","Středočeský kraj",393
"Robbery","Středočeský kraj",110
"Burglary","Středočeský kraj",4006
"Burglary of private residential premises","Středočeský kraj",1138
"Theft","Středočeský kraj",2727
"Theft of a motorized land vehicle","Středočeský kraj",346
