"iccs","geo","values"
"Intentional homicide","Pardubický kraj",0
"Assault","Pardubický kraj",120
"Robbery","Pardubický kraj",24
"Burglary","Pardubický kraj",587
"Burglary of private residential premises","Pardubický kraj",95
"Theft","Pardubický kraj",644
"Theft of a motorized land vehicle","Pardubický kraj",59
